origin,destination,origin_city,origin_flag,destination_city,destination_flag,airline,airline_emoji,flight_number,aircraft,duration
TAPA,TTPP,Antigua,flag_ag,Port of Spain,flag_tt,Caribbean Airlines,Caribbeantail,BW418,Caribbean Airlines Boeing 737-8 MAX,2:10
TTPP,TAPA,Port of Spain,flag_tt,Antigua,flag_ag,Caribbean Airlines,Caribbeantail,BW419,Caribbean Airlines Boeing 737-8 MAX,2:10
TTCP,KJFK,Tobago,flag_tt,New York JFK,flag_us,Caribbean Airlines,Caribbeantail,BW422,Caribbean Airlines Boeing 737-8 MAX,5:00
KJFK,TTCP,New York JFK,flag_us,Tobago,flag_tt,Caribbean Airlines,Caribbeantail,BW423,Caribbean Airlines Boeing 737-8 MAX,5:00
TTPP,TLPC,Port of Spain,flag_tt,St. Lucia,flag_lc,Caribbean Airlines,Caribbeantail,BW434,Generic Bombardier Dash 8-Q400,1:00
TTPP,SYCJ,Port of Spain,flag_tt,Georgetown,flag_gy,Caribbean Airlines,Caribbeantail,BW435,Caribbean Airlines Boeing 737-8 MAX,0:55
TLPC,TTPP,St. Lucia,flag_lc,Port of Spain,flag_tt,Caribbean Airlines,Caribbeantail,BW435,Generic Bombardier Dash 8-Q400,1:00
SYCJ,TTPP,Georgetown,flag_gy,Port of Spain,flag_tt,Caribbean Airlines,Caribbeantail,BW463,Caribbean Airlines Boeing 737-8 MAX,0:55
TTPP,KFLL,Port of Spain,flag_tt,Fort Lauderdale,flag_us,Caribbean Airlines,Caribbeantail,BW480,Caribbean Airlines Boeing 737-8 MAX,3:40
KFLL,TTPP,Fort Lauderdale,flag_us,Port of Spain,flag_tt,Caribbean Airlines,Caribbeantail,BW481,Caribbean Airlines Boeing 737-8 MAX,3:40
MKJP,KJFK,Kingston,flag_jm,New York JFK,flag_us,Caribbean Airlines,Caribbeantail,BW5,Caribbean Airlines Boeing 737-8 MAX,3:30
TVSA,KJFK,Kingstown,flag_vc,New York JFK,flag_us,Caribbean Airlines,Caribbeantail,BW552,Caribbean Airlines Boeing 737-8 MAX,5:00
KJFK,TVSA,New York JFK,flag_us,Kingstown,flag_vc,Caribbean Airlines,Caribbeantail,BW553,Caribbean Airlines Boeing 737-8 MAX,5:00
KJFK,MKJP,New York JFK,flag_us,Kingston,flag_jm,Caribbean Airlines,Caribbeantail,BW6,Caribbean Airlines Boeing 737-8 MAX,3:30
TTPP,CYYZ,Port of Spain,flag_tt,Toronto,flag_ca,Caribbean Airlines,Caribbeantail,BW600,Caribbean Airlines Boeing 737-8 MAX,5:35
CYYZ,TTPP,Toronto,flag_ca,Port of Spain,flag_tt,Caribbean Airlines,Caribbeantail,BW601,Caribbean Airlines Boeing 737-8 MAX,5:35
SYCJ,CYYZ,Georgetown,flag_gy,Toronto,flag_ca,Caribbean Airlines,Caribbeantail,BW616,Caribbean Airlines Boeing 737-8 MAX,6:30
CYYZ,SYCJ,Toronto,flag_ca,Georgetown,flag_gy,Caribbean Airlines,Caribbeantail,BW617,Caribbean Airlines Boeing 737-8 MAX,6:30
TTPP,SMJP,Port of Spain,flag_tt,Paramaribo,flag_sr,Caribbean Airlines,Caribbeantail,BW883,Caribbean Airlines Boeing 737-8 MAX,1:20
SMJP,TTPP,Paramaribo,flag_sr,Port of Spain,flag_tt,Caribbean Airlines,Caribbeantail,BW884,Caribbean Airlines Boeing 737-8 MAX,1:20
RCKH,RJTT,Kaohsiung,flag_tw,Tokyo Haneda,flag_jp,China Airlines,ChinaAirlinestail,CI102,Generic Airbus A321,3:00
RJTT,RCKH,Tokyo Haneda,flag_jp,Kaohsiung,flag_tw,China Airlines,ChinaAirlinestail,CI103,Generic Airbus A321,3:00
RCTP,RJCC,Taipei Taoyuan,flag_tw,Sapporo,flag_jp,China Airlines,ChinaAirlinestail,CI130,China Airlines Boeing 777-300ER,3:15
RJCC,RCTP,Sapporo,flag_jp,Taipei Taoyuan,flag_tw,China Airlines,ChinaAirlinestail,CI131,China Airlines Boeing 777-300ER,3:15
KSFO,RCTP,San Francisco,flag_us,Taipei Taoyuan,flag_tw,China Airlines,ChinaAirlinestail,CI3,"China Airlines Airbus A350, China Airlines Boeing 747-400, Generic Boeing 767-300",10:30
RCTP,KSFO,Taipei Taoyuan,flag_tw,San Francisco,flag_us,China Airlines,ChinaAirlinestail,CI4,"China Airlines Airbus A350, China Airlines Boeing 747-400, Generic Boeing 767-300",10:30
RCTP,YSSY,Taipei Taoyuan,flag_tw,Sydney,flag_au,China Airlines,ChinaAirlinestail,CI51,China Airlines Airbus A350,8:55
YSSY,RCTP,Sydney,flag_au,Taipei Taoyuan,flag_tw,China Airlines,ChinaAirlinestail,CI52,China Airlines Airbus A350,8:55
RCTP,ZGGG,Taipei Taoyuan,flag_tw,Guangzhou,flag_cn,China Airlines,ChinaAirlinestail,CI521,China Airlines Airbus A330-300,1:40
ZGGG,RCTP,Guangzhou,flag_cn,Taipei Taoyuan,flag_tw,China Airlines,ChinaAirlinestail,CI522,China Airlines Airbus A330-300,1:40
RCTP,ZGSZ,Taipei Taoyuan,flag_tw,Shenzhen,flag_cn,China Airlines,ChinaAirlinestail,CI527,China Airlines Airbus A330-300,1:25
ZGSZ,RCTP,Shenzhen,flag_cn,Taipei Taoyuan,flag_tw,China Airlines,ChinaAirlinestail,CI528,China Airlines Airbus A330-300,1:25
RCTP,VHHH,Taipei Taoyuan,flag_tw,Hong Kong,flag_hk,China Airlines,ChinaAirlinestail,CI601,"China Airlines Airbus A350, China Airlines Boeing 777-300ER, Generic Airbus A321, Generic Boeing 737-800, China Airlines Airbus A330-300",1:25
VHHH,RCTP,Hong Kong,flag_hk,Taipei Taoyuan,flag_tw,China Airlines,ChinaAirlinestail,CI602,"China Airlines Airbus A350, China Airlines Boeing 777-300ER, Generic Airbus A321, Generic Boeing 737-800, China Airlines Airbus A330-300",1:25
RCKH,RPLL,Kaohsiung,flag_tw,Manila,flag_ph,China Airlines,ChinaAirlinestail,CI711,Generic Boeing 737-800,1:30
RPLL,RCKH,Manila,flag_ph,Kaohsiung,flag_tw,China Airlines,ChinaAirlinestail,CI712,Generic Boeing 737-800,1:30
RCTP,WMKK,Taipei Taoyuan,flag_tw,Kuala Lumpur,flag_my,China Airlines,ChinaAirlinestail,CI721,China Airlines Boeing 777-300ER,4:10
WMKK,RCTP,Kuala Lumpur,flag_my,Taipei Taoyuan,flag_tw,China Airlines,ChinaAirlinestail,CI722,China Airlines Boeing 777-300ER,4:10
RCTP,EHAM,Taipei Taoyuan,flag_tw,Amsterdam,flag_nl,China Airlines,ChinaAirlinestail,CI73,China Airlines Boeing 777-300ER,14:50
EHAM,RCTP,Amsterdam,flag_nl,Taipei Taoyuan,flag_tw,China Airlines,ChinaAirlinestail,CI74,China Airlines Boeing 777-300ER,14:50
RCTP,LIRF,Taipei Taoyuan,flag_tw,Rome,flag_it,China Airlines,ChinaAirlinestail,CI75,China Airlines Airbus A350,14:05
RCKH,WSSS,Kaohsiung,flag_tw,Singapore,flag_sg,China Airlines,ChinaAirlinestail,CI757,Generic Boeing 737-800,4:05
WSSS,RCKH,Singapore,flag_sg,Kaohsiung,flag_tw,China Airlines,ChinaAirlinestail,CI758,Generic Boeing 737-800,4:05
LIRF,RCTP,Rome,flag_it,Taipei Taoyuan,flag_tw,China Airlines,ChinaAirlinestail,CI76,China Airlines Airbus A350,14:05
RCTP,VVTS,Taipei Taoyuan,flag_tw,Ho Chi Minh City,flag_vn,China Airlines,ChinaAirlinestail,CI781,"China Airlines Airbus A350, China Airlines Airbus A330-300",2:55
VVTS,RCTP,Ho Chi Minh City,flag_vn,Taipei Taoyuan,flag_tw,China Airlines,ChinaAirlinestail,CI782,"China Airlines Airbus A350, China Airlines Airbus A330-300",2:55
RCTP,EGLL,Taipei Taoyuan,flag_tw,London Heathrow,flag_gb,China Airlines,ChinaAirlinestail,CI81,China Airlines Airbus A350,15:15
EGLL,RCTP,London Heathrow,flag_gb,Taipei Taoyuan,flag_tw,China Airlines,ChinaAirlinestail,CI82,China Airlines Airbus A350,15:15
OMAA,NZAA,Abu Dhabi,flag_ae,Auckland,flag_nz,Etihad Airways,EYtail,EY1017,Etihad Airways Airbus A380,15:00
NZAA,OMAA,Auckland,flag_nz,Abu Dhabi,flag_ae,Etihad Airways,EYtail,EY1018,Etihad Airways Airbus A380,15:00
OMAA,CYYZ,Abu Dhabi,flag_ae,Toronto,flag_ca,Etihad Airways,EYtail,EY140,"Etihad Airways Boeing 787-10, Etihad Airways Boeing 777-300ER",13:30
CYYZ,OMAA,Toronto,flag_ca,Abu Dhabi,flag_ae,Etihad Airways,EYtail,EY141,"Etihad Airways Boeing 787-10, Etihad Airways Boeing 777-300ER",13:30
OMAA,EGCC,Abu Dhabi,flag_ae,Manchester,flag_gb,Etihad Airways,EYtail,EY21,"Etihad Airways Boeing 787-10, Etihad Airways Boeing 777-300ER",7:18
EGCC,OMAA,Manchester,flag_gb,Abu Dhabi,flag_ae,Etihad Airways,EYtail,EY22,"Etihad Airways Boeing 787-10, Etihad Airways Boeing 777-300ER",7:18
OMAA,LFPG,Abu Dhabi,flag_ae,Paris Charles de Gaulle,flag_fr,Etihad Airways,EYtail,EY37,"Etihad Airways Airbus A380, Etihad Airways Boeing 787-10, Etihad Airways Boeing 777-300ER",6:45
LFPG,OMAA,Paris Charles de Gaulle,flag_fr,Abu Dhabi,flag_ae,Etihad Airways,EYtail,EY38,"Etihad Airways Airbus A380, Etihad Airways Boeing 787-10, Etihad Airways Boeing 777-300ER",6:45
OMAA,YSSY,Abu Dhabi,flag_ae,Sydney,flag_au,Etihad Airways,EYtail,EY454,"Etihad Airways Airbus A380, Etihad Airways Boeing 787-10, Etihad Airways Boeing 777-300ER",13:15
YSSY,OMAA,Sydney,flag_au,Abu Dhabi,flag_ae,Etihad Airways,EYtail,EY455,"Etihad Airways Airbus A380, Etihad Airways Boeing 787-10, Etihad Airways Boeing 777-300ER",13:15
OMAA,YMML,Abu Dhabi,flag_ae,Melbourne,flag_au,Etihad Airways,EYtail,EY460,"Etihad Airways Boeing 777-300ER, Etihad Airways Boeing 787-9",12:45
YMML,OMAA,Melbourne,flag_au,Abu Dhabi,flag_ae,Etihad Airways,EYtail,EY461,"Etihad Airways Boeing 777-300ER, Etihad Airways Boeing 787-9",12:45
OMAA,KDFW,Abu Dhabi,flag_ae,Dallas Fort Worth,flag_us,Etihad Airways,EYtail,EY5005,"Etihad Airways Boeing 787-10, Etihad Airways Boeing 777-300ER",16:00
KDFW,OMAA,Dallas Fort Worth,flag_us,Abu Dhabi,flag_ae,Etihad Airways,EYtail,EY5006,"Etihad Airways Boeing 787-10, Etihad Airways Boeing 777-300ER",16:00
OMAA,KATL,Abu Dhabi,flag_ae,Atlanta,flag_us,Etihad Airways,EYtail,EY5013,"Etihad Airways Boeing 787-10, Etihad Airways Boeing 777-300ER, Etihad Airways - Formula One Airbus A340-600",14:30
KATL,OMAA,Atlanta,flag_us,Abu Dhabi,flag_ae,Etihad Airways,EYtail,EY5014,"Etihad Airways Boeing 787-10, Etihad Airways Boeing 777-300ER, Etihad Airways - Formula One Airbus A340-600",14:30
OMAA,FACT,Abu Dhabi,flag_ae,Cape Town,flag_za,Etihad Airways,EYtail,EY5015,Etihad Airways Boeing 787-10,10:00
FACT,OMAA,Cape Town,flag_za,Abu Dhabi,flag_ae,Etihad Airways,EYtail,EY5016,Etihad Airways Boeing 787-10,10:00
YBBN,OMAA,Brisbane,flag_au,Abu Dhabi,flag_ae,Etihad Airways,EYtail,EY5054,Etihad Airways Boeing 777-300ER,10:00
OMAA,YBBN,Abu Dhabi,flag_ae,Brisbane,flag_au,Etihad Airways,EYtail,EY5055,Etihad Airways Boeing 777-300ER,10:00
OMAA,EDDF,Abu Dhabi,flag_ae,Frankfurt,flag_de,Etihad Airways,EYtail,EY7,"Etihad Airways Airbus A380, Etihad Airways Boeing 787-10",6:25
EDDF,OMAA,Frankfurt,flag_de,Abu Dhabi,flag_ae,Etihad Airways,EYtail,EY8,"Etihad Airways Airbus A380, Etihad Airways Boeing 787-10",6:25
OMAA,LIRF,Abu Dhabi,flag_ae,Rome,flag_it,Etihad Airways,EYtail,EY83,Etihad Airways Boeing 787-10,5:50
LIRF,OMAA,Rome,flag_it,Abu Dhabi,flag_ae,Etihad Airways,EYtail,EY84,Etihad Airways Boeing 787-10,5:50
OMAA,RJTT,Abu Dhabi,flag_ae,Tokyo Haneda,flag_jp,Etihad Airways,EYtail,EY871,Etihad Airways Boeing 787-10,9:10
RJTT,OMAA,Tokyo Haneda,flag_jp,Abu Dhabi,flag_ae,Etihad Airways,EYtail,EY878,Etihad Airways Boeing 787-10,9:10
EGSS,LKPR,London Stansted,flag_gb,Prague,flag_cz,Ryanair,Ryanairtail,FR1013,Ryanair Boeing 737-800,1:35
LKPR,EGSS,Prague,flag_cz,London Stansted,flag_gb,Ryanair,Ryanairtail,FR1014,Ryanair Boeing 737-800,1:35
EIDW,LHBP,Dublin,flag_ie,Budapest,flag_hu,Ryanair,Ryanairtail,FR1023,Ryanair Boeing 737-800,2:40
LHBP,EIDW,Budapest,flag_hu,Dublin,flag_ie,Ryanair,Ryanairtail,FR1024,Ryanair Boeing 737-800,2:40
EIDW,LFMN,Dublin,flag_ie,Nice,flag_fr,Ryanair,Ryanairtail,FR1958,Ryanair Boeing 737-800,2:20
LFMN,EIDW,Nice,flag_fr,Dublin,flag_ie,Ryanair,Ryanairtail,FR1959,Ryanair Boeing 737-800,2:20
EGSS,LEAL,London Stansted,flag_gb,Alicante,flag_es,Ryanair,Ryanairtail,FR2586,Ryanair Boeing 737-800,2:10
LEAL,EGSS,Alicante,flag_es,London Stansted,flag_gb,Ryanair,Ryanairtail,FR2587,Ryanair Boeing 737-800,2:10
EGSS,LOWS,London Stansted,flag_gb,Salzburg,flag_at,Ryanair,Ryanairtail,FR304,Ryanair Boeing 737-800,1:35
LOWS,EGSS,Salzburg,flag_at,London Stansted,flag_gb,Ryanair,Ryanairtail,FR305,Ryanair Boeing 737-800,1:35
LPMA,EIDW,Madeira,flag_pt,Dublin,flag_ie,Ryanair,Ryanairtail,FR363,Ryanair Boeing 737-800,3:15
EIDW,LPMA,Dublin,flag_ie,Madeira,flag_pt,Ryanair,Ryanairtail,FR364,Ryanair Boeing 737-800,3:15
GMAD,EIDW,Agadir,flag_ma,Dublin,flag_ie,Ryanair,Ryanairtail,FR3994,Ryanair Boeing 737-800,3:25
EIDW,GMAD,Dublin,flag_ie,Agadir,flag_ma,Ryanair,Ryanairtail,FR3995,Ryanair Boeing 737-800,3:25
ESSA,EGSS,Stockholm Arlanda,flag_se,London Stansted,flag_gb,Ryanair,Ryanairtail,FR4692,Ryanair Boeing 737-800,1:55
EGSS,ESSA,London Stansted,flag_gb,Stockholm Arlanda,flag_se,Ryanair,Ryanairtail,FR4693,Ryanair Boeing 737-800,1:55
EIDW,GCTS,Dublin,flag_ie,Tenerife South,flag_es,Ryanair,Ryanairtail,FR5555,Ryanair Boeing 737-800,3:50
GCTS,EIDW,Tenerife South,flag_es,Dublin,flag_ie,Ryanair,Ryanairtail,FR5556,Ryanair Boeing 737-800,3:50
EGSS,LIRP,London Stansted,flag_gb,Pisa,flag_it,Ryanair,Ryanairtail,FR584,Ryanair Boeing 737-800,1:45
LIRP,EGSS,Pisa,flag_it,London Stansted,flag_gb,Ryanair,Ryanairtail,FR585,Ryanair Boeing 737-800,1:45
EIDW,EIKY,Dublin,flag_ie,Kerry,flag_ie,Ryanair,Ryanairtail,FR611,Ryanair Boeing 737-800,0:35
EIKY,EIDW,Kerry,flag_ie,Dublin,flag_ie,Ryanair,Ryanairtail,FR612,Ryanair Boeing 737-800,0:35
EGSS,LFML,London Stansted,flag_gb,Marseille,flag_fr,Ryanair,Ryanairtail,FR6541,Ryanair Boeing 737-800,1:30
LFML,EGSS,Marseille,flag_fr,London Stansted,flag_gb,Ryanair,Ryanairtail,FR6542,Ryanair Boeing 737-800,1:30
EIDW,EBBR,Dublin,flag_ie,Brussels,flag_be,Ryanair,Ryanairtail,FR657,Ryanair Boeing 737-800,1:18
EBBR,EIDW,Brussels,flag_be,Dublin,flag_ie,Ryanair,Ryanairtail,FR658,Ryanair Boeing 737-800,1:18
LOWW,EGSS,Vienna,flag_at,London Stansted,flag_gb,Ryanair,Ryanairtail,FR729,Ryanair Boeing 737-800,1:50
EGSS,LOWW,London Stansted,flag_gb,Vienna,flag_at,Ryanair,Ryanairtail,FR730,Ryanair Boeing 737-800,1:50
EIKN,EGSS,Knock,flag_ie,London Stansted,flag_gb,Ryanair,Ryanairtail,FR804,Ryanair Boeing 737-800,1:05
EGSS,EIKN,London Stansted,flag_gb,Knock,flag_ie,Ryanair,Ryanairtail,FR805,Ryanair Boeing 737-800,1:05
SBGR,SVMI,Sao Paulo,flag_br,Caracas,flag_ve,GOL,GOLTail,G37210,GOL Boeing 737-8 MAX,5:30
SVMI,SBGR,Caracas,flag_ve,Sao Paulo,flag_br,GOL,GOLTail,G37211,GOL Boeing 737-8 MAX,5:30
KMCO,SBBR,Orlando,flag_us,Brasilia,flag_br,GOL,GOLTail,G37601,GOL Boeing 737-8 MAX,7:45
SBBR,KMCO,Brasilia,flag_br,Orlando,flag_us,GOL,GOLTail,G37602,GOL Boeing 737-8 MAX,7:45
TNCA,SBGR,Aruba,flag_aw,Sao Paulo,flag_br,GOL,GOLTail,G37715,GOL Boeing 737-8 MAX,5:50
SBGR,TNCA,Sao Paulo,flag_br,Aruba,flag_aw,GOL,GOLTail,G37716,GOL Boeing 737-8 MAX,5:50
SBGR,MDPC,Sao Paulo,flag_br,Punta Cana,flag_do,GOL,GOLTail,G37730,GOL Boeing 737-8 MAX,6:35
MDPC,SBGR,Punta Cana,flag_do,Sao Paulo,flag_br,GOL,GOLTail,G37731,GOL Boeing 737-8 MAX,6:35
SBBR,SKBO,Brasilia,flag_br,Bogota,flag_co,GOL,GOLTail,G38242,GOL Boeing 737-8 MAX,5:00
SKBO,SBBR,Bogota,flag_co,Brasilia,flag_br,GOL,GOLTail,G38243,GOL Boeing 737-8 MAX,5:00
WIJJ,WIDD,Jambi,flag_id,Batam,flag_id,Garuda Indonesia,GarudaTail,GA7152,Garuda Indonesia CRJ-1000,1:20
WIDD,WIJJ,Batam,flag_id,Jambi,flag_id,Garuda Indonesia,GarudaTail,GA7153,Garuda Indonesia CRJ-1000,1:20
WIII,YPPH,Jakarta,flag_id,Perth,flag_au,Garuda Indonesia,GarudaTail,GA724,"Garuda Indonesia Boeing 737-800, Garuda Indonesia Airbus A330-300",4:50
YPPH,WIII,Perth,flag_au,Jakarta,flag_id,Garuda Indonesia,GarudaTail,GA725,"Garuda Indonesia Boeing 737-800, Garuda Indonesia Airbus A330-300",4:50
WARR,WAHH,Surabaya,flag_id,Yogyakarta,flag_id,Garuda Indonesia,GarudaTail,GA7308,Garuda Indonesia CRJ-1000,1:10
WAHH,WARR,Yogyakarta,flag_id,Surabaya,flag_id,Garuda Indonesia,GarudaTail,GA7309,Garuda Indonesia CRJ-1000,1:10
WADD,ZHCC,Denpasar Bali,flag_id,Zhengzhou,flag_cn,Garuda Indonesia,GarudaTail,GA800,Garuda Indonesia Boeing 737-800,5:50
ZHCC,WADD,Zhengzhou,flag_cn,Denpasar Bali,flag_id,Garuda Indonesia,GarudaTail,GA801,Garuda Indonesia Boeing 737-800,5:50
WIII,VVTS,Jakarta,flag_id,Ho Chi Minh City,flag_vn,Garuda Indonesia,GarudaTail,GA8340,"Garuda Indonesia Boeing 737-800, Garuda Indonesia Airbus A330-900",2:50
